I,I,I,I,IV,IV,I,I,V,V,I,I
I,ii,I,IV,,,,,,,,
I,ii,iii,IV,V,,,,,,,
I,iii,IV,V,,,,,,,,
I,iii,vi,IV,,,,,,,,
I,IV,I,V,,,,,,,,
I,IV,ii,V,,,,,,,,
I,IV,V,I,,,,,,,,
I,IV,V,,,,,,,,,
I,IV,vi,V,,,,,,,,
i,V,i,iv,,,,,,,,
i,V,i,iv,,,,,,,,
I,V,IV,V,,,,,,,,
I,V,IV,,,,,,,,,
I,V,vi,iii,IV,I,V,,,,,
I,V,VI,III,IV,I,IV,V,,,,
I,V,vi,III,,,,,,,,
I,V,vi,IV,,,,,,,,
I,V,vi,V,,,,,,,,
I,V,vi,,,,,,,,,
I,vi,II,V,,,,,,,,
i,VI,III,VII,,,,,,,,
I,vi,IV,V,,,,,,,,
I,vi,IV,V,,,,,,,,
i,VI,iv,VII,,,,,,,,
I,VI,V,,,,,,,,,
I,VII,IV,I,,,,,,,,
i,VII,VI,V,,,,,,,,
ii,V,I,,,,,,,,,
IV,I,ii,,,,,,,,,
IV,I,V,,,,,,,,,
IV,I,Vi,vi,,,,,,,,
IV,ii,I,V,I,,,,,,,
IV,iv,I,,,,,,,,,
iv,V,IV,III,,,,,,,,
IV,V,V,vi,,,,,,,,
iv,V,VI,V,,,,,,,,
V,vi,IV,I,,,,,,,,
V,vii,vi,,,,,,,,,
vi,IV,I,V,,,,,,,,
vi,V,IV,V,,,,,,,,
I,V,IV,VII,I,,,,,,,